SA_RB_Level,SPX_PX_TO_SALES_RATIO_QS,LocalEquityGret12,TINSALNL.Index,USDZAR_SwapBasisSpreadPC1,GlobalPropertyVol3,SA_RB_Level_QS,RepSouCDSCurve_QS_PC3,US_NB_Level,US_NB_R2_QS,SA_NB_R2,SA_NB_Level_TS,US_NB_Curvature_TS,SA_NB_Curvature_TS,USDZARVol6,USDEURVolTermStruct_PC2,MultiAssetEnt,SANomBndStructBreak_Level,EcoSrpCITI_PC1,GlobalEquity_EntDyn,GlobalEquityGret1,LocalEquitySB,LocalBondsGret3,LocalBondsSB,GlobalEquityGret6,GlobalBondGret3,GlobalBondSB,AAIIBULL.Index,GlobalBondSB.1,RandPPP_Factor_Inst_TS_ST,LagRank_G0O1.Index,USNomBndStructBreak_Level,SANomBndStructBreak_Slope,SPXIVSructBreak_PC1,MOVEStructBreak,SwaptionVolStructBreak_PC2,SKEW,GLD_StructBreak,XAURollKurt,CL1.Comdty_Diff_QS,CL1StructBreak,CL1RollSkew,CL1RollKurt,XAUStructBreak,ACWI_RV_3_TS
2.25254761110774,0.902,-0.1978931990258667,-16.0,0.480357471697783,0.06306198635630282,0.058,-14.58885008214435,2.911223753808045,0.345,0.9526923470280005,-20.13777850717515,-21.94558863162116,20.40796113221086,0.08192203728332909,-3.400330522754697,62.8,0.0,-47.10148000918552,28.4,-0.02309798333540503,2.707433198298218,-0.02325954157687538,2.726851244193313,-0.1173165679042134,0.02565280102325507,1.049318779118914,983.9299999999998,2.022152915199951,4.502680004481542,3.666666666666667,1.269880557494396,1.798143436990934,1.068214910381038,1.139739926404343,0.6189404600093804,118.17,0.6456264149444916,13.63584778364496,0.81,-0.005845034365541999,0.2729971149051073,0.2716423673736408,0.7884543921939674,-8.229474930340283
2.499140967873141,0.984,-0.2011351557547191,-34.0,0.4191677961798981,0.06472198185924434,0.18,-15.91629202618205,3.075880540303481,0.429,0.9526923470280005,-21.5751113737009,-22.63627524512876,19.04581181250127,0.08499720577798814,-0.6069895597995417,62.8,0.0,-43.17906662097555,28.6,-0.001092900925426132,2.276182645724357,0.005339142516688655,2.428855422994023,-0.09958873393016521,0.02210482128779212,-0.3959426899969472,977.6799999999998,1.762394424736776,7.606148155000255,3.416666666666667,1.406693456250254,2.58416666421301,1.087951973786318,1.416029337020812,0.4210993637612773,119.51,0.402869672903389,13.0256969617892,0.769,0.5171483558939789,0.255342050189535,-0.0733938910230747,0.4776162141020706,-7.037429584171526
2.621918938863507,0.993,-0.1575558629220196,-25.0,0.215267215621125,0.06641179833705217,0.252,-13.08435294838366,3.10934844128709,0.448,0.9526923470280005,-22.96420080129923,-22.78405839929364,17.9671042851887,0.09321158212532799,-2.664099199856078,63.4,0.4426916139287116,-56.40032323230545,28.8,0.02208922959160176,1.881093006646988,0.0270089065168595,2.357800958652581,-0.0908876707478683,-0.003818126867927374,0.4995194514871013,963.9200000000001,1.682690891391118,10.93455451542509,3.083333333333333,1.661462872648036,1.360399703377915,1.122251713655292,2.034302397421445,-0.05240386157555773,116.2,0.532194786821852,11.83695927390798,0.73,0.08011824325203383,0.4198112640430522,-0.006444744859169571,0.7389760012185306,8.024511524435239
2.796420621301484,0.993,-0.1673281869954096,-17.0,0.1049529824128298,0.07045925498726435,0.341,-9.84403739258943,3.06401262022673,0.43,0.9863279978951518,-15.93885371288693,-22.79828644528063,16.21560116021973,0.09911024578917134,-1.877990880101472,63.2,0.7122903625158119,-53.59300783323975,29.2,0.03541190502033142,1.637753931003993,0.01565609720856309,2.202611465907031,-0.07541193011602298,-0.009583636140396257,0.2037730100707605,950.49,1.676188084889238,13.69250009031505,2.916666666666667,1.848885161639989,0.9744673263617534,1.757237369610578,1.028469167120539,0.3359829489327391,116.29,0.8350837497400275,11.77956007212597,0.566,0.2633900907810714,0.4006893608563014,-0.05332480740421275,0.809842018360979,9.383068114804189
3.122536071783322,0.986,-0.1371435943749189,10.0,-0.0497514745254355,0.07566653416816915,0.69,-11.71436082943164,3.464941344937096,0.603,0.9936993092554115,-11.18465998360571,-23.05926795082766,15.51755139025463,0.09966112722944441,-2.394245601717292,63.2,0.8811199048580364,-32.8466156541984,30.2,0.05853876975977501,2.055868736742684,0.04057774779435008,2.132850482549558,-0.05194359136204674,0.0228437575761713,-0.1676552317275396,943.5400000000001,1.774448181386703,17.54721914096771,2.25,1.179285191671176,0.9306915365676106,2.461713936770324,1.59062224118438,0.7991672100284786,117.36,0.579913477963647,8.730780391455077,0.646,0.2380198727913882,0.3723045718148587,-0.1779081312616486,0.7353013348394813,10.48791009481148
3.011039953140818,0.974,-0.1650997221495587,-12.0,0.1979489718741554,0.08231468813452368,0.603,-9.915788508673865,3.441428393323502,0.609,0.9965497426778068,-8.389916729485947,-23.13578100775124,15.84763641202782,0.1014465948053214,-1.313536477846782,63.2,1.288958120437068,-24.5092506544631,31.2,0.03011025886558238,1.245510834649138,0.02396664859509068,2.194906892232507,-0.03714976003008885,0.03714329891593793,1.550063645822902,935.11,1.533610803955101,19.59736789384274,2.416666666666667,1.671081198171372,1.047630041356594,1.983331758699743,1.756925762254158,0.3168260644894269,116.53,0.7474167734021057,6.341662313808525,0.753,0.6605360237796727,0.3476321539282848,-0.1511841628660751,0.4672190818307826,12.27886022879759
2.980237717637935,0.97,-0.1469825200338268,-6.0,0.1114610772999919,0.08434905618844833,0.557,-7.435931890590738,3.668297285881891,0.684,0.9948660600607601,8.189321693846836,-23.08424492314439,17.04489785330758,0.1031130406914546,-2.596470518767525,63.6,1.421439551729269,-27.6011749503705,30.8,0.01891152055586232,0.6886565984610717,0.05536443141813585,1.956201157129162,-0.03514852428405346,0.03921186720692837,0.9312304925743826,930.6500000000001,1.729993546091074,21.03158765466096,2.583333333333333,1.662417210873798,0.8174341917974988,0.4500129602787651,1.951255409122054,0.6162852074325689,117.12,1.915254750853905,5.952055425007423,0.636,0.6415229928366019,0.4257402248398889,-0.1768508719591053,0.5543245816321057,13.51514499795128
2.885515207409382,0.935,-0.1777377662376398,0.0,0.3173999635312913,0.08322179966884055,0.409,-5.822682727251496,3.55845347416461,0.605,0.9940825499193877,11.43728131436926,-25.3909862078501,18.30427299944169,0.1033680203984892,-1.749482148614969,63.6,2.340131383097292,-27.02087428168261,30.8,-0.02078055001953694,1.225923257558092,0.04786931319163856,2.077649727385436,-0.06134025178715796,0.02862360676632725,1.363379404936807,935.6500000000001,2.09509012515651,23.08087227673424,2.916666666666667,1.5804373208393,1.000506511536252,0.5008895337651205,2.107269280709185,0.8244978083762557,113.27,0.6923363747428296,5.972085203953601,0.4,1.065876215792832,0.3649977574907271,-0.2350111193223419,0.760464936010406,13.71361076778856
2.770348520905018,0.832,-0.1463657704125961,10.0,0.2492753009921336,0.08360263129361521,0.302,-3.599770824024552,3.451685093411538,0.581,0.9918878432600439,13.20525023646326,-29.93669593174403,19.44423296739823,0.1020480556076898,-2.804697537739151,64.0,1.770138164120313,-21.20049306690991,31.4,-0.06122005735749125,1.735391492620172,0.05567432931514382,2.371518912444844,-0.06423880865789011,0.02231275419431289,-0.02394482566584252,931.0500000000002,2.274457239575094,23.65633937872531,3.583333333333333,1.695724670865134,1.42719223860234,0.5743464271859043,3.680079007525819,1.128080640410664,113.07,0.7046664264706157,1.022854257158511,0.694,0.3129091254678597,0.3083167219071817,0.1352665432795246,0.6421014484689098,12.48942928605374
2.735968485285688,0.857,-0.1362138270124708,6.0,0.2235247162023323,0.08238275142158341,0.282,-6.552766535605412,3.53315596991513,0.606,0.9930097779301781,14.73823125357427,-34.21247221388995,20.48895875132529,0.1011579237749438,-1.271383853537759,64.2,0.5154958461765639,-11.81325625485364,31.0,-0.05170857581680144,1.057316513185904,0.07513301635818204,2.805940242232968,-0.06755628831360083,0.02958836525298514,0.03840091308577808,928.1300000000002,2.479997953701451,24.04744786382713,3.666666666666667,2.348259952882993,2.657509990636936,1.048371477342668,1.774985455742329,1.783227159442783,118.23,0.6211981646239826,1.080578023759284,0.948,0.3022468377546486,0.2157590478981478,0.03863126200125455,0.7690929463136632,12.4662795678499
