Date,Return,Cumulative_Return,Label,t_stat,Best_window
2004-02-01,0.0,0.0,0,0.0,0
2004-03-01,0.0,0.0,0,0.0,0
2004-04-01,0.0,0.0,0,0.0,0
2004-05-01,0.0,0.0,0,0.0,0
2004-06-01,0.0,0.0,0,0.0,0
2004-07-01,0.0,0.0,0,0.0,0
2004-08-01,0.0,0.0,0,0.0,0
2004-09-01,0.0,0.0,0,0.0,0
2004-10-01,0.0,0.0,0,0.0,0
2004-11-01,0.0,0.0,0,0.0,0
2004-12-01,0.0,0.0,0,0.0,0
2005-01-01,0.0,0.0,0,0.0,0
2005-02-01,0.0,0.0,0,0.0,0
2005-03-01,0.0,0.0,0,0.0,0
2005-04-01,0.0,0.0,0,0.0,0
2005-05-01,0.0,0.0,0,0.0,0
2005-06-01,0.0,0.0,0,0.0,0
2005-07-01,0.0,0.0,0,0.0,0
2005-08-01,0.0,0.0,0,0.0,0
2005-09-01,0.0,0.0,0,0.0,0
2005-10-01,0.0,0.0,0,0.0,0
2005-11-01,0.0,0.0,0,0.0,0
2005-12-01,0.0,0.0,0,0.0,0
2006-01-01,0.0,0.0,0,0.0,0
2006-02-01,0.0,0.0,0,0.0,0
2006-03-01,0.0,0.0,1,1.7320508075688776,12
2006-04-01,0.0,0.0,1,1.7320508075688779,11
2006-05-01,0.0,0.0,-1,-1.9890627104266114,12
2006-06-01,0.0,0.0,-1,-1.976248729414762,11
2006-07-01,0.0,0.0,-1,-1.9590024904310195,10
2006-08-01,0.0,0.0,-1,-1.9349824914497897,9
2006-09-01,0.0,0.0,-1,-1.9001024822851744,8
2006-10-01,0.0,0.0,-1,-1.8467886397298203,7
2006-11-01,0.0,0.0,-1,-1.76003158662069,6
2006-12-01,0.0,0.0,1,1.7320508075688774,3
2007-01-01,0.0,0.0,1,1.4066729288367827,7
2007-02-01,0.00560702104596289,0.00560702104596289,1,2.077088157127218,12
2007-03-01,-0.036797662876170145,-0.031190641830207255,1,4.443691164345067,4
2007-04-01,0.01386967358066249,-0.017320968249544766,1,2.1097979159719884,3
2007-05-01,0.045001518307059785,0.02768055005751502,-1,-5.034265487774095,5
2007-06-01,0.004424743043649593,0.03210529310116461,-1,-23.388059509572,4
2007-07-01,-0.016272582278942127,0.015832710822222484,-1,-12.820602642268598,3
2007-08-01,-0.01165332818938114,0.004179382632841344,-1,-3.548360873100797,3
2007-09-01,-0.015293867874305533,-0.01111448524146419,1,2.8775421648729145,5
2007-10-01,-0.044462627884215955,-0.055577113125680144,1,2.8944962745919938,4
2007-11-01,0.11988326817185124,0.0643061550461711,1,1.6159087841452797,3
2007-12-01,-0.0015387907643475973,0.0627673642818235,-1,-1.0409141795614274,3
2008-01-01,0.04435784005888055,0.10712520434070405,1,0.9806808274363706,10
2008-02-01,-0.1779716663876132,-0.07084646204690914,1,2.04366621297356,9
2008-03-01,0.15226605292829365,0.08141959088138451,-1,-1.2871489768152724,3
2008-04-01,-0.08645338817776205,-0.00503379729637754,1,2.2316311281741683,3
2008-05-01,0.0127395579696572,0.00770576067327966,-1,-2.456528695902694,12
2008-06-01,0.10107595057487706,0.10878171124815672,-1,-14.003815028656733,3
2008-07-01,-0.04608027899590339,0.06270143225225333,-1,-3.1294432183385377,11
2008-08-01,-0.059087925331008484,0.0036135069212448467,-1,-3.2098108704946102,12
2008-09-01,0.09536997241056677,0.09898347933181162,-1,-3.426207208628601,11
2008-10-01,0.00966125898367054,0.10864473831548216,-1,-2.6770302470942857,3
2008-11-01,-0.14058803631169858,-0.031943297996216424,1,2.148274324184581,4
2008-12-01,-0.030131631083828214,-0.06207492908004464,1,8.110473261306602,3
2009-01-01,0.0676907735388792,0.005615844458834562,-1,-1.8490838130505924,5
2009-02-01,0.04386683200670005,0.049482676465534614,-1,-1.2863428430392116,4
2009-03-01,-0.19235321772391656,-0.14287054125838194,1,2.4360673610440466,11
2009-04-01,0.0706420788358646,-0.07222846242251735,1,1.6530959260995668,10
2009-05-01,-0.05249104532432236,-0.12471950774683971,1,1.8454457171188212,9
2009-06-01,0.08698035269002402,-0.03773915505681569,1,1.521983689715623,12
2009-07-01,-0.10516072300815271,-0.1428998780649684,1,4.3543067908265245,3
2009-08-01,0.07359104420157658,-0.06930883386339182,1,1.6780454522156478,11
2009-09-01,0.0317060824724853,-0.03760275139090652,1,1.3613882107325195,10
2009-10-01,-0.03739640665823796,-0.07499915804914448,1,1.6771854649238374,9
2009-11-01,0.040300815303247806,-0.03469834274589667,1,1.2125649935169975,8
2009-12-01,-0.039148130497244304,-0.07384647324314098,1,1.55483824779223,7
2010-01-01,0.056675102390703946,-0.01717137085243703,-1,-184.15691215782874,3
2010-02-01,-0.040093841439730715,-0.057265212292167744,1,2.1653789087450086,5
2010-03-01,-0.039346679592825895,-0.09661189188499364,1,10.925822521623905,3
2010-04-01,0.06345312988047591,-0.03315876200451773,-1,-1.778003652791391,6
2010-05-01,0.046087804443258884,0.012929042438741156,-1,-2.3228463273306725,3
2010-06-01,-0.01825541455851154,-0.005326372119770384,-1,-1.052390526596498,4
2010-07-01,-0.1252951752571818,-0.1306215473769522,1,1.211682468555462,12
2010-08-01,0.09836983574082159,-0.03225171163613061,1,0.5898858345315957,7
2010-09-01,-0.11426108399152257,-0.14651279562765318,1,4.2805723135954326,3
2010-10-01,0.0699309953800924,-0.07658180024756078,-1,-0.6787806030497285,3
2010-11-01,0.029641080452336377,-0.046940719795224406,-1,-1.7272673232621285,12
2010-12-01,-0.0678455039291549,-0.1147862237243793,-1,-1.9877710144126344,12
