RepSouCDSCurve_QS_PC1,RepSouCDSCurve_QS_PC2,RepSouCDSCurve_QS_PC3,RepSouCDSCurve_PC1,RepSouCDSCurve_PC2,RepSouCDSCurve_PC3,REPSOU_5YR_CDS,US_NB_Level,US_NB_Slope,US_NB_Curvature,US_NB_Lambda,US_NB_R2,US_NB_Level_QS,US_NB_Slope_QS,US_NB_Curvature_QS,US_NB_Lambda_QS,US_NB_R2_QS,US_RB_Level,US_RB_Slope,US_RB_QS_Level,US_RB_QS_Slope,SA_NB_Level,SA_NB_Slope,SA_NB_Curvature,SA_NB_Lambda,SA_NB_R2,SA_NB_Level_QS,SA_NB_Slope_QS,SA_NB_Curvature_QS,SA_NB_Lambda_QS,SA_NB_R2_QS,SA_RB_Level,SA_RB_Slope,SA_RB_Curvature,SA_RB_Lambda,SA_RB_R2,SA_RB_Level_QS,SA_RB_Slope_QS,SA_RB_Curvature_QS,SA_RB_Lambda_QS,SA_RB_R2_QS,SAPMI_YoY,SACWC_YoY,OEZAA013_YoY,CESIUSD.Index,CESIEM.Index,CESIGL.Index,EcoSrpCITI_PC1,EcoSrpCITI_PC2,InflGrowthSurpPC1,InflGrowthSurpPC2,InflGrowthSurpPC1_QS,InflGrowthSurpPC2_QS,BCMPEBLS.Index,LEI.TOTL.Index,CONCCONF.Index,SSICCONF.Index,TINSALNL.Index,OPCVTPCR.Index,MichgnConcIndx_QuantileScale,MichgnConcIndx_TS,MichgnConcIndx,RandPPP_QuantileScale,RandPPP_Factor_Inst_TS_ST,RandPPP_Factor_Inst_TS_LT,RandPPP_Factor_Inst
-235.1137129806902,77.8051285065049,-0.335731620643545,0.663,0.98,0.399,131.901,4.02856545175019,-1.163731030750576,-12.33434067253434,1.37,0.9320407943993053,0.199,0.6,0.024,1.0,0.38,-0.4286624868478399,0.6760093461037999,0.966,0.044,8.726481039907316,-3.534558272330595,-1.264010823503122,0.63,0.9900907800375374,0.48,0.002,0.431,1.0,0.694,3.012535945457034,-1.590185221478991,-2.545555744609037,0.67,0.9639120670480734,0.769,0.044,0.169,1.0,0.895,4.699999999999996,14.0,1.727400000000003,24.1,0.7,19.8,28.5690799389598,-7.104156246852704,0.2611290512859092,-0.02943666887609801,0.8,0.754,16.34,4.799999999999997,1.199999999999996,-20.2,14.0,-0.175,0.3333333333333333,5.048723383905067,67.7,0.077,-34.0947325209424,-28.41734542328997,0.4846771808460475
-220.322111296382,71.33211200279045,3.434566106037483,0.708,0.946,0.664,122.948,4.197401085080578,-1.287718373012085,-12.78141324262845,1.37,0.9431239907572171,0.254,0.565,0.006,1.0,0.457,-0.5961120098787503,0.7241691124742223,0.948,0.057,8.767586495205284,-3.562168538598018,-1.215316996141227,0.63,0.9875489781666714,0.487,0.005,0.451,1.0,0.63,3.145003681414347,-1.764921385501373,-2.617641772324572,0.67,0.9609916191203225,0.787,0.008,0.157,1.0,0.861,2.699999999999996,14.0,1.709600000000009,-9.6,2.3,14.7,0.4528314425065728,12.04633406729979,0.3243127042813674,0.07834359413319215,0.861,0.859,16.34,4.700000000000003,7.199999999999996,-4.399999999999991,18.0,0.04499999999999993,0.5416666666666666,4.547825226443781,71.6,0.02,-33.59982960763972,-28.10951806436601,0.4451824192404036
-218.5822536767962,71.90287677689595,0.561150474802878,0.713,0.95,0.468,121.501,4.433268454584051,-1.857683349694574,-12.19986119082913,1.37,0.9650809887365169,0.414,0.354,0.036,1.0,0.694,-1.153246359943798,0.8341319297156631,0.862,0.117,8.813747587608011,-3.690258585551767,-0.7201538186074439,0.63,0.9877243963059426,0.511,0.005,0.545,1.0,0.632,3.132405185989704,-1.741515167877431,-2.657064693109894,0.67,0.9682942788721424,0.783,0.012,0.153,1.0,0.933,2.699999999999996,14.0,1.709600000000009,1.7,7.7,21.5,14.69730415930299,11.70356952916237,0.2179827606384457,0.1229290094503413,0.741,0.892,16.34,4.700000000000003,7.199999999999996,-4.399999999999991,25.0,-0.267,0.5416666666666666,4.547825226443781,71.6,0.018,-34.54266853169567,-28.0297153948323,0.4436542014994702
-219.7316816382047,70.76975170555552,1.227156613620282,0.71,0.938,0.516,120.757,4.431288307392589,-1.79580403136,-12.35090059369529,1.37,0.9645223497155175,0.415,0.385,0.032,1.0,0.68,-0.9902798589562155,0.8029581425844611,0.891,0.1,8.799935838475292,-3.6555619328704,-0.6540968384914412,0.63,0.9898032942947169,0.5,0.007,0.56,1.0,0.686,3.058975282736661,-1.682843921190515,-2.553171987398503,0.67,0.960191887699663,0.765,0.032,0.18,1.0,0.845,2.699999999999996,14.0,1.709600000000009,17.7,2.5,27.1,27.78797244907787,0.3257891047096089,0.188903036046813,0.1039425296608491,0.716,0.87,16.34,4.700000000000003,7.199999999999996,-4.399999999999991,0.0,-0.04500000000000004,0.5416666666666666,4.547825226443781,71.6,0.032,-35.821662216969,-28.05000894638505,0.445763983665053
-233.8970899874649,72.72675111568252,1.861331554478992,0.669,0.959,0.576,127.637,4.516554865384633,-1.991939471352187,-12.14226136463297,1.37,0.9706819398634235,0.504,0.314,0.048,1.0,0.722,-1.054297098501506,0.8087076884625171,0.874,0.105,8.721868068607652,-3.590788782225427,-0.5929515556473866,0.63,0.9899594911269621,0.458,0.016,0.578,1.0,0.69,3.058080980532259,-1.669722254947184,-2.617482954761888,0.67,0.9627205701154419,0.761,0.038,0.165,1.0,0.87,2.699999999999996,14.0,1.709600000000009,12.5,3.4,24.6,22.89402102197236,3.213244486522816,0.3400158917018467,0.1153632376027914,0.891,0.877,16.34,4.700000000000003,7.199999999999996,-4.399999999999991,0.0,0.09599999999999997,0.5416666666666666,4.547825226443781,71.6,0.003,-37.72673992637274,-30.28277340408831,0.4249084767041619
-223.6965116865157,76.53975666471999,0.1627030440398769,0.711,0.977,0.423,126.116,4.386435047440734,-1.839606202669347,-12.04108428319177,1.37,0.9699057131303113,0.371,0.371,0.051,1.0,0.715,-0.9188828573354588,0.7807914063060407,0.903,0.087,8.650597191984497,-3.503285759649851,-0.7138370262780157,0.63,0.9890973786082308,0.439,0.027,0.551,1.0,0.656,3.057515580346422,-1.671904203814549,-2.600849222361964,0.67,0.9625227172979373,0.755,0.038,0.17,1.0,0.864,0.5,8.0,1.722000000000008,14.6,1.5,23.0,23.01006712189941,0.05600988228584625,0.4010587434890225,0.18486140070606,0.924,0.952,9.709999999999999,4.899999999999991,9.799999999999997,-0.09999999999999432,0.0,0.153,0.7083333333333334,4.216113026567475,74.5,0.003,-38.53157860389801,-34.00023545094156,0.3610808368109606
-228.9146597988455,73.04214848502494,-2.537097304247995,0.689,0.957,0.18,127.894,4.479725407605195,-1.793644168816955,-12.56684801389243,1.37,0.9628040545627878,0.465,0.4,0.02,1.0,0.655,-0.7733740898457069,0.8298068707241024,0.933,0.127,8.56646111530438,-3.444299369704111,-0.7177686853006864,0.63,0.9869180780926102,0.39,0.03,0.551,1.0,0.598,3.065349654548063,-1.676649085926616,-2.634281390420176,0.67,0.960511210438309,0.767,0.039,0.161,1.0,0.841,0.5,8.0,1.722000000000008,35.1,12.0,31.9,47.49707375924314,-1.124803755998966,0.3700216626543722,0.239989573037026,0.918,0.961,9.709999999999999,4.899999999999991,9.799999999999997,-0.09999999999999432,-7.0,-0.1759999999999998,0.7083333333333334,4.216113026567475,74.5,0.01,-39.94442146332789,-39.04495579640157,0.387195946452164
-227.6716550501175,77.74435719618367,0.5963986964659134,0.699,0.974,0.46,127.215,4.505779808345595,-1.752095178529152,-12.80901229499766,1.37,0.9608997264699461,0.501,0.419,0.006,1.0,0.638,-0.7667649045586401,0.8650779927655119,0.929,0.169,8.80261985757256,-3.685922076650864,-0.1723115698808864,0.63,0.9904693143941079,0.5,0.007,0.648,1.0,0.713,3.168147287434159,-1.740978250474854,-2.836825414794297,0.67,0.9684321646606562,0.79,0.014,0.107,1.0,0.932,0.5,8.0,1.722000000000008,36.2,6.7,27.0,43.90026911159189,-7.269700456778879,0.3077299753412664,0.1322255923657126,0.848,0.886,9.709999999999999,4.899999999999991,9.799999999999997,-0.09999999999999432,0.0,-0.2050000000000001,0.7083333333333334,4.216113026567475,74.5,0.017,-42.50213452049809,-41.47951788287592,0.4062072617074328
-223.4036825559112,82.3541588749725,2.32540361606077,0.721,0.988,0.608,127.805,4.586377160760335,-1.874491942040613,-12.78177067526279,1.37,0.9663739276538421,0.58,0.358,0.011,1.0,0.692,-0.9953971264252311,0.9823256213361558,0.873,0.531,8.89389869543434,-3.778320771524289,-0.03358719180090639,0.63,0.9914247976477794,0.588,0.006,0.655,1.0,0.728,3.171874952661205,-1.643159395671892,-2.650210026005773,0.67,0.977849974492169,0.791,0.064,0.164,1.0,0.999,0.5,8.0,1.722000000000008,38.6,15.9,33.5,52.56689580388116,0.364773842431697,0.2433501182640748,0.2700786930523412,0.775,0.963,9.709999999999999,4.899999999999991,9.799999999999997,-0.09999999999999432,21.0,-0.06899999999999995,0.7083333333333334,4.216113026567475,74.5,0.026,-43.23360604381855,-43.4562789384429,0.423603479396349
-246.6946583914569,81.21742073868677,0.7038768719586866,0.624,0.984,0.474,137.851,4.513319247496395,-1.733386892338337,-13.01697130771095,1.37,0.9614940480375365,0.512,0.436,0.002,1.0,0.637,-0.782941818771404,0.9532681476548599,0.921,0.437,8.858800561910925,-3.756769642738711,0.3668657140992017,0.63,0.991918368957104,0.517,0.008,0.717,1.0,0.734,3.122891288785564,-1.557605210262891,-2.653134424068201,0.67,0.9783227785932814,0.765,0.099,0.164,1.0,0.999,0.5,8.0,1.722000000000008,28.2,17.0,27.7,42.09277517102235,5.365084256694349,0.2838916831027509,0.2909551475143331,0.828,0.964,9.709999999999999,4.899999999999991,9.799999999999997,-0.09999999999999432,21.0,-0.04400000000000004,0.7083333333333334,4.216113026567475,74.5,0.058,-39.70440595639575,-42.36748400062987,0.4409111714940616
