InflGrowthSurpPC1,CESIEM.Index,SA_NB_Curvature,RepSouCDSCurve_PC3,US_RB_Level,SA_RB_R2_QS,SSICCONF.Index,US_NB_Slope,SA_NB_Level,RepSouCDSCurve_QS_PC1
-0.0507061420963444,18.2,-1.235625183768583,0.146,-0.959476211456202,0.868,-26.3,-1.290469040632306,8.344699427279963,-270.2090753219219
-0.07188562971013442,22.3,-1.255765966750827,0.255,-0.9124046522576157,0.864,-26.3,-1.452811446839094,8.091401302691013,-278.6286256406622
-0.04989014694330322,26.9,-0.1684052639904332,0.162,-0.8594648823548894,0.854,-26.3,-1.149068368943892,8.095272804998977,-269.9564211605528
-0.05131117878539981,26.8,-0.6207848196266236,0.225,-0.5856209945328712,0.859,-26.3,-1.033955612921824,8.154643496700327,-275.8850513215684
-0.1486170635520667,32.1,-0.3101319299273527,0.327,-0.4067308503821638,0.938,-30.30000000000001,-0.8908822014249721,8.204932217328889,-269.8356266785694
-0.1358927205380748,34.4,-0.6360406881143428,0.371,0.09895922918969262,0.877,-30.30000000000001,-0.7018839399238528,8.274405336566911,-231.5299689927573
-0.02578110691063463,31.1,-1.275314376754023,0.346,0.07857749936323824,0.882,-30.30000000000001,-0.7753009543955672,8.293329571368101,-213.8257203483444
-0.01411552656976465,28.4,-1.20890968670708,0.381,0.08999333960910805,0.945,-30.30000000000001,-0.6954362130103832,8.418670564595985,-214.5751514886697
-0.03957035671813019,17.3,-1.565268135340578,0.229,-0.0025594319214019,0.92,-20.2,-0.6756651371489253,8.429739634579319,-200.8842400560698
0.03357345335183163,12.2,-1.995100259807352,0.511,0.1633493574869779,0.811,-20.2,-0.6328607143573964,8.306415615843298,-185.4812964024553
0.04117149522425239,9.9,-1.828270824443164,0.136,-0.2473132928417099,0.832,-20.2,-1.039668664048723,8.445296571034222,-208.8135080344152
0.1492395967425091,10.1,-1.649787723538917,0.541,-0.4558855737952768,0.783,-20.2,-1.208277737826856,8.569590729142293,-214.348598270121
0.2611290512859092,0.7,-1.264010823503122,0.399,-0.4286624868478399,0.895,-20.2,-1.163731030750576,8.726481039907316,-235.1137129806902
0.3243127042813674,2.3,-1.215316996141227,0.664,-0.5961120098787503,0.861,-4.399999999999991,-1.287718373012085,8.767586495205284,-220.322111296382
0.2179827606384457,7.7,-0.7201538186074439,0.468,-1.153246359943798,0.933,-4.399999999999991,-1.857683349694574,8.813747587608011,-218.5822536767962
0.188903036046813,2.5,-0.6540968384914412,0.516,-0.9902798589562155,0.845,-4.399999999999991,-1.79580403136,8.799935838475292,-219.7316816382047
0.3400158917018467,3.4,-0.5929515556473866,0.576,-1.054297098501506,0.87,-4.399999999999991,-1.991939471352187,8.721868068607652,-233.8970899874649
0.4010587434890225,1.5,-0.7138370262780157,0.423,-0.9188828573354588,0.864,-0.09999999999999432,-1.839606202669347,8.650597191984497,-223.6965116865157
0.3700216626543722,12.0,-0.7177686853006864,0.18,-0.7733740898457069,0.841,-0.09999999999999432,-1.793644168816955,8.56646111530438,-228.9146597988455
0.3077299753412664,6.7,-0.1723115698808864,0.46,-0.7667649045586401,0.932,-0.09999999999999432,-1.752095178529152,8.80261985757256,-227.6716550501175
0.2433501182640748,15.9,-0.03358719180090639,0.608,-0.9953971264252311,0.999,-0.09999999999999432,-1.874491942040613,8.89389869543434,-223.4036825559112
0.2838916831027509,17.0,0.3668657140992017,0.474,-0.782941818771404,0.999,-0.09999999999999432,-1.733386892338337,8.858800561910925,-246.6946583914569
0.2857284641932584,22.6,0.8098783587110201,0.45,-1.253222398238738,1.0,-3.799999999999997,-2.318049637044511,8.909244193623989,-241.3335641497206
0.2705868309226168,20.6,0.3612983383872485,0.633,-1.52493606060168,0.962,-3.799999999999997,-2.609990384013285,8.936834411092367,-240.2374387165456
0.1092183429028119,32.0,-0.2961122141450929,0.647,-1.206576883084528,0.914,-3.799999999999997,-2.457947712381319,8.970556057240481,-242.7033954630061
0.1154777523569728,38.4,-1.124181337928151,0.343,-0.7708792692519537,0.903,-3.799999999999997,-2.234390976756862,9.393374246668984,-238.7522424887538
0.1710638681284954,35.9,-0.7703120161924425,0.719,-0.6856229600322344,0.767,-10.8,-2.189062810121317,9.30629340092826,-224.6693713740376
0.1834801517025434,18.3,-0.7045125264415751,0.423,-0.623588774409978,0.759,-10.8,-2.076866474349119,9.490610510607839,-216.6008397194232
0.0654130736901444,25.4,-0.9806324436757272,0.666,-0.4545581253357366,0.7,-10.8,-1.914219249878881,9.506104225147439,-214.5088083912525
0.1466863890736056,27.9,-1.195855074035497,0.597,-0.7965659447493517,0.752,-10.8,-2.306477611797662,9.424241171040364,-203.4256509674878
0.116141166168334,28.3,-0.9355202156585316,0.373,-0.7261993976617939,0.779,-10.10000000000001,-2.45397605210399,9.356767258830134,-194.2451428928418
0.1166753573553065,27.4,-0.7905109915747747,0.675,-0.6710475122185962,0.774,-10.10000000000001,-2.597374960554188,9.16691924568088,-195.9956000593649
0.05502839041407594,34.9,-0.7643154859636251,0.655,-0.5683301663804216,0.884,-10.10000000000001,-2.287407728333744,9.252843134976047,-201.2210384756127
0.1162971758019388,33.6,-0.9893426518557825,0.486,-0.5250520259537436,0.937,-10.10000000000001,-2.247567069600841,9.168085859788528,-205.5348376719194
0.1055826444494231,33.7,-0.8395181322863582,0.568,-0.08689207604111887,0.789,-2.100000000000009,-1.965205157987916,9.139884071699639,-197.0035503099168
0.07882184130213235,29.4,-0.9630589971798372,0.712,-0.2156800114716154,0.986,-2.100000000000009,-1.916208789856325,9.227588001632977,-201.6415597228287
