CESIGL.Index,InflGrowthSurpPC1,US_RB_QS_Level,US_NB_Slope_QS,RepSouCDSCurve_QS_PC1
-18.5,-0.001294618557005684,0.01,0.99,-455.8327773422367
-19.1,0.07744168232864074,0.024,0.995,-441.358353881672
-16.2,0.1289739283337257,0.047,1.0,-431.7987471445263
-18.4,0.1275919048145859,0.015,1.0,-427.8363766363661
-22.0,0.1037653333548776,0.033,0.999,-427.1894161695736
-22.1,0.09657682635396796,0.055,1.0,-428.1486002980005
-23.4,0.1059436139778002,0.078,0.997,-423.0392743830453
-26.3,0.09518459623587347,0.09,0.995,-395.204299514818
-22.4,0.1427614866075048,0.067,0.981,-377.8777285539621
-20.3,0.1467242751856265,0.067,0.982,-358.1610580393117
-11.8,0.2060521164344359,0.128,0.985,-330.6676279161121
-13.6,0.2100579398079904,0.154,0.998,-350.5430220959527
-25.4,0.3015647590682403,0.175,0.986,-359.3954696562282
-22.1,0.3100868387455825,0.239,0.997,-348.0570514821011
-32.4,0.3686248468350372,0.188,0.973,-340.4012775433555
-29.6,0.3228884824194228,0.272,0.999,-350.5531663015167
-26.8,0.4127197316720825,0.314,1.0,-333.8580925771104
-27.1,0.3702748612171947,0.387,1.0,-380.3258322608395
-26.2,0.5005466403384946,0.39,0.995,-386.037028901549
-27.5,0.5042494667398872,0.327,0.991,-345.9178224306471
-23.9,0.4464100211690062,0.328,0.979,-346.5322715550266
-19.1,0.4378444960580704,0.325,0.979,-341.3287397070516
-22.4,0.4480215672566642,0.419,0.994,-354.3602454280853
-20.8,0.6497898876014907,0.325,0.981,-355.535992482253
