Date,Return,Cumulative_Return,Label,t_stat,Best_window
2004-02-01,0.02762778907770702,0.02762778907770702,-1,-9.97807484120751,10
2004-03-01,-0.015855635729127737,0.011772153348579284,-1,-8.380936592589135,9
2004-04-01,-0.003721439702025542,0.008050713646553742,-1,-7.186046861646367,8
2004-05-01,-0.020648492809268948,-0.012597779162715206,-1,-5.4048208132458395,7
2004-06-01,-0.0016706765596683493,-0.014268455722383555,-1,-6.037043374645036,3
2004-07-01,-0.024384256516272185,-0.03865271223865574,-1,-2.4557965729129463,5
2004-08-01,-0.044005554594220175,-0.08265826683287592,1,5.627879060125126,3
2004-09-01,0.004379626432739592,-0.07827864040013632,1,1.8262894283083597,8
2004-10-01,0.008273912837536423,-0.0700047275625999,1,1.9961421253889884,7
2004-11-01,-0.0559321533474193,-0.1259368809100192,1,3.2126642700450856,3
2004-12-01,0.0493003471843132,-0.076636533725706,1,1.6930473688245697,5
2005-01-01,0.014762176707877828,-0.061874357017828174,1,1.4856015569385521,4
2005-02-01,-0.04504460137180666,-0.10691895838963483,1,2.725431607798796,3
2005-03-01,0.08265587390690665,-0.02426308448272818,-1,-2.173616641392137,5
2005-04-01,0.018420433445181295,-0.0058426510375468865,-1,-1.6511802725346145,4
2005-05-01,-0.08585622529831716,-0.09169887633586404,1,1.5241721893952973,7
2005-06-01,0.03925977126378388,-0.05243910507208016,1,1.4149608953811812,12
2005-07-01,-0.056121319968054584,-0.10856042504013474,1,2.1233715141785403,12
2005-08-01,0.06521186460629336,-0.04334856043384139,1,2.182788323328997,12
2005-09-01,-0.060906270256113615,-0.104254830689955,1,2.2458595391595804,11
2005-10-01,0.12321522016677444,0.01896038947681944,-1,-12.766831915070656,3
2005-11-01,-0.046833594899460484,-0.027873205422641045,1,2.779128668930384,11
2005-12-01,-0.06153586494482055,-0.0894090703674616,1,3.657057457337677,8
2006-01-01,-0.0002013361749353404,-0.08961040654239694,1,2.8742977296527745,7
2006-02-01,0.08817318345620007,-0.0014372230861968704,1,1.8705885679167051,6
2006-03-01,-0.08754491068509929,-0.08898213377129616,1,6.174687213470154,3
2006-04-01,0.054189760652661345,-0.03479237311863481,-1,-1.9315222807314458,12
2006-05-01,0.09644368833205919,0.061651315213424374,-1,-5.088030828385547,12
2006-06-01,-0.02268645426936322,0.03896486094406115,-1,-3.992920130100601,11
2006-07-01,0.012457509602840311,0.051422370546901464,-1,-3.139121337726376,10
2006-08-01,-0.05526538716305873,-0.0038430166161572687,-1,-2.0884851371488766,9
2006-09-01,0.03441234312771502,0.03056932651155775,-1,-2.008999902337719,8
2006-10-01,-0.05949493453448862,-0.02892560802293087,1,2.306777058860878,12
2006-11-01,0.028907063094862018,-1.8544928068853217e-05,1,1.8913721589174648,11
2006-12-01,-0.03171045973525177,-0.031729004663320626,1,14.397962439626351,3
2007-01-01,0.012255237883465497,-0.01947376677985513,1,2.735437059909853,12
2007-02-01,0.015607021045962899,-0.0038667457338922295,1,3.4426116649988683,12
2007-03-01,-0.029097662876170105,-0.032964408610062335,1,3.5158480241186534,11
2007-04-01,-0.006330326419337506,-0.03929473502939984,1,3.2195776459320586,3
2007-05-01,0.0590015183070598,0.019706783277659956,-1,-2.8554700146353684,6
2007-06-01,0.01772474304364957,0.03743152632130953,-1,-8.720343615553311,3
2007-07-01,-0.019972582278942053,0.017458944042367475,1,4.107247057713984,12
2007-08-01,-0.013353328189381175,0.0041056158529863,1,4.02401480260445,12
2007-09-01,0.00530613212569464,0.00941174797868094,1,3.424295648359058,11
2007-10-01,-0.04126262788421586,-0.03185087990553492,1,3.4706389288909856,4
2007-11-01,0.13408326817185134,0.10223238826631642,1,1.7727472970306468,9
2007-12-01,-0.0045387907643476,0.09769359750196882,1,1.5676917328441518,8
2008-01-01,0.07965784005888055,0.17735143756084937,1,1.2621911108370134,6
2008-02-01,-0.15907166638761328,0.018279771173236092,1,2.8027634297097856,5
2008-03-01,0.1517660529282936,0.17004582410152969,-1,-2.0987088818824007,11
2008-04-01,-0.06415338817776206,0.10589243592376762,1,6.037753606011814,3
2008-05-01,0.058339557969657174,0.1642319938934248,-1,-3.3102602635054406,12
2008-06-01,0.10527595057487715,0.26950794446830195,-1,-43.291748748067334,3
2008-07-01,-0.09608027899590332,0.17342766547239863,-1,-3.0580869416149676,11
2008-08-01,-0.08868792533100855,0.08473974014139007,-1,-3.189843990965448,12
2008-09-01,0.08376997241056683,0.1685097125519569,-1,-3.81947840038722,4
2008-10-01,0.0005612589836705428,0.16907097153562745,-1,-3.37497011665972,3
2008-11-01,-0.13158803631169846,0.03748293522392898,-1,-2.489826613555336,12
2008-12-01,-0.0423316310838282,-0.004848695859899221,1,15.242701218040231,3
2009-01-01,0.08979077353887921,0.08494207767897999,-1,-2.7694138468250182,10
2009-02-01,0.07146683200670012,0.1564089096856801,-1,-2.085110913446306,9
2009-03-01,-0.20355321772391666,-0.04714430803823655,-1,-0.8992680397794722,8
2009-04-01,0.051342078835864724,0.004197770797628175,-1,-1.1803477471116621,7
2009-05-01,-0.0641910453243224,-0.05999327452669423,1,0.8378976957804186,9
2009-06-01,0.08188035269002403,0.0218870781633298,-1,-1.0982193121493302,3
2009-07-01,-0.1093607230081527,-0.0874736448448229,1,14.754148644495064,3
2009-08-01,0.02449104420157666,-0.06298260064324623,1,1.8806917779563979,6
2009-09-01,0.031006082472485375,-0.03197651817076086,1,1.2180104335838984,5
2009-10-01,-0.03569640665823792,-0.06767292482899878,1,1.5399412972250013,4
